chromosome,interval,mean_recomb_rate
b'Pseudochr2',113400000-115425000,0.000000000000019051310403276593
b'Pseudochr2',115425000-117450000,0.00000000000001921472547301752
b'Pseudochr2',117450000-119475000,0.000000000000019408846430922744
b'Pseudochr2',119475000-121500000,0.000000000000019572886274054702
b'Pseudochr2',121500000-123525000,0.00000000000001974458986495496
b'Pseudochr2',123525000-125550000,0.00000000000001993094885150413
b'Pseudochr2',125550000-127575000,0.000000000000020092632914406082
b'Pseudochr2',127575000-129600000,0.000000000000020308784707031816
b'Pseudochr2',129600000-131625000,0.00000000000002048506192927896
b'Pseudochr2',131625000-133650000,0.000000000000020650546905607698
b'Pseudochr2',133650000-135675000,0.00000000000002081841132918266
b'Pseudochr2',135675000-137700000,0.000000000000020988804824049284
b'Pseudochr2',137700000-139725000,0.000000000000021142965693979547
b'Pseudochr2',139725000-141750000,0.000000000000021294136006734786
b'Pseudochr2',141750000-143775000,0.00000000000002142960264354642
b'Pseudochr2',143775000-145800000,0.000000000000021595755746279665
b'Pseudochr2',145800000-147825000,0.00000000000002184831903249383
b'Pseudochr2',147825000-149850000,0.000000000000022075125950667428
b'Pseudochr20',0-2015000,0.0000000000000006146841272806628
b'Pseudochr20',2015000-4030000,0.0000000000000015597169761118495
b'Pseudochr20',4030000-6045000,0.0000000000000024720285808729325
b'Pseudochr20',6045000-8060000,0.0000000000000031964680418118826
b'Pseudochr20',8060000-10075000,0.000000000000004022386293044622
b'Pseudochr20',10075000-12090000,0.000000000000004934414769721398
b'Pseudochr20',12090000-14105000,0.0000000000000058773047569559855
b'Pseudochr21',0-2016000,0.0000000000000009630051099700086
b'Pseudochr21',2016000-4032000,0.0000000000000017972464092147127
b'Pseudochr21',4032000-6048000,0.00000000000000253952508478709
b'Pseudochr22',0-2030000,0.0000000000000009998468680983043
b'Pseudochr22',2030000-4060000,0.000000000000001743877252405232
b'Pseudochr23',0-2030000,0.0000000000000008397731259835567
b'Pseudochr23',2030000-4060000,0.000000000000001763158731280391
b'Pseudochr23',4060000-6090000,0.0000000000000027481568694473412
b'Pseudochr24',0-2030000,0.0000000000000008238729361077017
